Counter Report

Create time: 10-Jul-2013 12:12 PM
Database Report 3 (R3) - Total Searches and Sessions by Month and Service
North Park University
Date run: 2013-07-10
Year: 2013

 	Platform	 	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	YTD Total
Total for Service JSTOR	JSTOR	Total searches run	1577	2471	2408	2698	1047	548	10749
Total for Service JSTOR	JSTOR	Searches-federated and automated	0	0	0	0	0	0	0
Total for Service JSTOR	JSTOR	Total sessions	1303	1889	1860	2513	913	499	8977
Total for Service JSTOR	JSTOR	Sessions-federated and automated	0	0	0	0	0	0	0
©2000-2013 ITHAKA. All Rights Reserved. JSTOR®, the JSTOR logo, and ITHAKA® are registered trademarks of ITHAKA.
