Counter Report

Create time: 09-Jan-2013 11:49 AM
Database Report 3 (R3) - Total Searches and Sessions by Month and Service
North Park University
Date run: 2013-01-09
Year: 2012

 	Platform	 	Jan-2012	Feb-2012	Mar-2012	Apr-2012	May-2012	Jun-2012	Jul-2012	Aug-2012	Sep-2012	Oct-2012	Nov-2012	Dec-2012	YTD Total
Total for Service JSTOR	JSTOR	Total searches run	1436	4712	4746	7014	3497	1833	738	693	3669	4053	2873	2058	37322
Total for Service JSTOR	JSTOR	Searches-federated and automated	0	0	0	0	0	0	0	0	0	0	0	0	0
Total for Service JSTOR	JSTOR	Total sessions	1969	2157	2309	3423	1670	831	336	310	1727	2009	2295	1772	20808
Total for Service JSTOR	JSTOR	Sessions-federated and automated	0	0	0	0	0	0	0	0	0	0	0	0	0
©2000-2013 ITHAKA. All Rights Reserved. JSTOR®, the JSTOR logo, and ITHAKA® are registered trademarks of ITHAKA.
