Counter Report

Create time: 09-Jan-2013 11:49 AM
Database Report 3 (R3) - Total Searches and Sessions by Month and Service
North Park University
Date run: 2013-01-09
Year: 2011

 	Platform	 	Jan-2011	Feb-2011	Mar-2011	Apr-2011	May-2011	Jun-2011	Jul-2011	Aug-2011	Sep-2011	Oct-2011	Nov-2011	Dec-2011	YTD Total
Total for Service JSTOR	JSTOR	Total searches run	1118	3359	3763	6528	3472	754	1830	1031	3107	4956	4373	3875	38166
Total for Service JSTOR	JSTOR	Searches-federated and automated	0	0	0	0	0	0	0	0	0	0	0	0	0
Total for Service JSTOR	JSTOR	Total sessions	431	1522	1613	3078	1853	384	607	457	1440	2215	1988	2144	17732
Total for Service JSTOR	JSTOR	Sessions-federated and automated	0	0	0	0	0	0	0	0	0	0	0	0	0
©2000-2013 ITHAKA. All Rights Reserved. JSTOR®, the JSTOR logo, and ITHAKA® are registered trademarks of ITHAKA.
