Database,Publisher,User_Activity,2013 S2 (Summer),2013 S3 (Fall),2014 S1 (Spring),2014 S2 (Summer),2014 S3 (Fall),2015 S1 (Spring),2015 S2 (Summer),2015 S3 (Fall),2016 S1 (Spring),2016 S2 (Summer),2016 S3 (Fall),2017 S1 (Spring)
LDBO consolidated build,EBSCO,Record Views,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
LDBO consolidated build,EBSCO,Regular Searches,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
LDBO consolidated build,EBSCO,Result Clicks,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
LDBO consolidated build,EBSCO,Searches-federated and automated,NA,NA,NA,NA,NA,NA,NA,NA,0,10,36,8
LexisNexis Academic: Law Reviews,EBSCO,Record Views,NA,NA,NA,0,1,0,18,56,112,48,93,137
LexisNexis Academic: Law Reviews,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
LexisNexis Academic: Law Reviews,EBSCO,Result Clicks,NA,NA,NA,0,2,0,41,108,193,90,161,221
LexisNexis Academic: Law Reviews,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,3835,19293,16536,8764,20932,14354
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
LexisNexis U.S. Serial Set Digital Collection,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
"Library, Information Science & Technology Abstracts",EBSCO,Record Views,NA,NA,NA,0,71,98,104,183,135,211,129,53
"Library, Information Science & Technology Abstracts",EBSCO,Regular Searches,NA,NA,NA,85,1102,1778,275,1020,1018,578,822,419
"Library, Information Science & Technology Abstracts",EBSCO,Result Clicks,NA,NA,NA,7,112,174,172,292,202,245,219,74
"Library, Information Science & Technology Abstracts",EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1131,4889,22562,18745,9866,24618,15696
Literary Reference Center,EBSCO,Record Views,9,865,179,66,363,344,59,320,347,207,541,33
Literary Reference Center,EBSCO,Regular Searches,304,2262,866,466,1623,1947,272,1229,1398,675,1240,412
Literary Reference Center,EBSCO,Result Clicks,21,1609,397,149,665,640,117,617,604,429,1076,58
Literary Reference Center,EBSCO,Searches-federated and automated,39,0,3,0,80,1138,1048,3140,2126,1062,3569,1239
Literature Resource Center,EBSCO,Record Views,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA
Literature Resource Center,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Literature Resource Center,EBSCO,Result Clicks,NA,NA,NA,0,2,7,0,0,NA,NA,NA,NA
Literature Resource Center,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,73,0,0,NA,NA,NA,NA
LUNA Commons,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
LUNA Commons,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
LUNA Commons,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
LUNA Commons,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Manuscriptorium Digital Library,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Manuscriptorium Digital Library,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Manuscriptorium Digital Library,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Manuscriptorium Digital Library,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
Marquis Biographies Online,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Marquis Biographies Online,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Marquis Biographies Online,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Marquis Biographies Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Maruzen eBook Library,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Maruzen eBook Library,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Maruzen eBook Library,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Maruzen eBook Library,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
MAS Ultra - School Edition,EBSCO,Record Views,2,6,10,1,0,3,2,15,8,1,14,2
MAS Ultra - School Edition,EBSCO,Regular Searches,293,1066,608,345,975,1504,194,915,941,500,742,390
MAS Ultra - School Edition,EBSCO,Result Clicks,6,11,23,2,0,10,3,25,18,3,23,6
MAS Ultra - School Edition,EBSCO,Searches-federated and automated,39,0,3,0,80,1150,1045,3131,2123,1050,3564,1240
MasterFILE Premier,EBSCO,Record Views,18,38,64,13,41,71,40,376,118,60,223,38
MasterFILE Premier,EBSCO,Regular Searches,296,1097,723,376,981,1527,198,916,960,548,759,400
MasterFILE Premier,EBSCO,Result Clicks,39,100,146,29,88,147,94,733,250,185,477,78
MasterFILE Premier,EBSCO,Searches-federated and automated,39,0,3,0,80,1155,1050,3153,2131,1066,3589,1242
Media Archive,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Media Archive,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Media Archive,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Media Archive,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
MEDLINE,EBSCO,Record Views,191,2629,2727,982,3092,3396,276,2014,530,115,642,580
MEDLINE,EBSCO,Regular Searches,601,6248,6472,2525,8344,7838,956,3768,2394,600,1566,1214
MEDLINE,EBSCO,Result Clicks,433,5537,5361,2085,5904,6279,574,3341,957,246,1286,1104
MEDLINE,EBSCO,Searches-federated and automated,39,0,3,0,80,70,3851,19539,16699,8830,21130,14481
MEDLINE Complete,EBSCO,Record Views,NA,NA,NA,NA,NA,NA,NA,NA,0,88,2424,1768
