Database,Publisher,User_Activity,2013 S2 (Summer),2013 S3 (Fall),2014 S1 (Spring),2014 S2 (Summer),2014 S3 (Fall),2015 S1 (Spring),2015 S2 (Summer),2015 S3 (Fall),2016 S1 (Spring),2016 S2 (Summer),2016 S3 (Fall),2017 S1 (Spring)
Ovid MEDLINE(R),U.S. National Library of Medicine,Regular Searches,NA,NA,21,3,0,0,12,1,0,0,9,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,Result Clicks,NA,NA,41,0,4,4,4,6,4,2,37,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,Searches-federated and automated,NA,NA,0,0,0,0,0,0,0,0,0,NA
Oxford's Who's Who & Who Was Who,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford's Who's Who & Who Was Who,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford's Who's Who & Who Was Who,EBSCO,Result Clicks,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA
Oxford's Who's Who & Who Was Who,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Oxford African American Studies Center,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford African American Studies Center,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford African American Studies Center,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford African American Studies Center,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Oxford Biblical Studies Online,EBSCO,Record Views,NA,NA,NA,0,0,0,7,1,0,0,0,0
Oxford Biblical Studies Online,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
Oxford Biblical Studies Online,EBSCO,Result Clicks,NA,NA,NA,0,1,4,11,6,0,0,3,0
Oxford Biblical Studies Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,138,220,3077,2088,1023,3470,1228
Oxford Bibliographies,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Bibliographies,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Bibliographies,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Bibliographies,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Oxford Dictionary of National Biography,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Dictionary of National Biography,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Dictionary of National Biography,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Dictionary of National Biography,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Oxford Handbooks Online,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Handbooks Online,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Handbooks Online,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Handbooks Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
Oxford Islamic Studies Online,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Islamic Studies Online,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Islamic Studies Online,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Islamic Studies Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Oxford Medicine Online,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Medicine Online,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Medicine Online,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Medicine Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Oxford Reference,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Reference,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Reference,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Reference,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
Oxford Scholarly Editions Online,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Scholarly Editions Online,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Scholarly Editions Online,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Scholarly Editions Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Oxford Scholarship Online,EBSCO,Record Views,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA
Oxford Scholarship Online,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Oxford Scholarship Online,EBSCO,Result Clicks,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA
Oxford Scholarship Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,72,0,0,NA,NA,NA,NA
Persée,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Persée,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Persée,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Persée,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Philosopher's Index,EBSCO,Record Views,0,0,0,45,21,23,0,0,NA,NA,NA,NA
Philosopher's Index,EBSCO,Regular Searches,0,0,538,423,1009,1554,0,0,NA,NA,NA,NA
Philosopher's Index,EBSCO,Result Clicks,0,0,0,73,38,52,0,0,NA,NA,NA,NA
Philosopher's Index,EBSCO,Searches-federated and automated,0,0,3,0,80,1125,5,0,NA,NA,NA,NA
Philosophers Index with Full Text,EBSCO,Record Views,NA,NA,NA,0,0,0,12,194,112,60,0,0
Philosophers Index with Full Text,EBSCO,Regular Searches,NA,NA,NA,0,0,0,65,979,957,466,0,0
Philosophers Index with Full Text,EBSCO,Result Clicks,NA,NA,NA,0,0,0,28,368,246,124,0,0
Philosophers Index with Full Text,EBSCO,Searches-federated and automated,NA,NA,NA,0,0,0,1163,22663,18839,7588,0,0
PhilSci Archive,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PhilSci Archive,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PhilSci Archive,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PhilSci Archive,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Primary Search,EBSCO,Record Views,0,0,0,0,0,0,0,0,0,0,3,0
Primary Search,EBSCO,Regular Searches,301,1231,687,406,1175,1719,209,965,960,497,753,406
Primary Search,EBSCO,Result Clicks,0,0,0,0,0,1,0,0,1,0,6,0
Primary Search,EBSCO,Searches-federated and automated,39,0,3,0,80,1128,1033,3105,2106,1044,3531,1238
Professional Development Collection,EBSCO,Record Views,202,65,22,19,50,91,54,205,260,215,412,157
Professional Development Collection,EBSCO,Regular Searches,350,1209,755,448,1221,2039,238,1026,1038,528,778,409
Professional Development Collection,EBSCO,Result Clicks,331,164,52,44,101,193,131,402,469,403,774,286
Professional Development Collection,EBSCO,Searches-federated and automated,39,0,3,0,80,1136,4912,22704,18869,9901,24701,15765
Project MUSE,EBSCO,Record Views,NA,NA,NA,0,0,5,40,199,86,39,82,61
Project MUSE,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
Project MUSE,EBSCO,Result Clicks,NA,NA,NA,0,0,22,86,354,165,95,155,112
Project MUSE,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1124,4888,22512,18670,9762,24132,15427
Project MUSE,Johns Hopkins University Press,Record Views,NA,NA,424,90,0,0,0,0,0,0,0,NA
Project MUSE,Johns Hopkins University Press,Regular Searches,NA,NA,5600,634,615,884,115,616,586,180,591,NA
Project MUSE,Johns Hopkins University Press,Result Clicks,NA,NA,332,86,229,354,61,241,273,137,197,NA
Project MUSE,Johns Hopkins University Press,Searches-federated and automated,NA,NA,0,0,0,0,0,0,0,0,0,NA
PsycARTICLES,EBSCO,Record Views,7,83,151,31,137,210,59,326,496,183,493,228
PsycARTICLES,EBSCO,Regular Searches,350,1303,1332,542,1972,2754,319,1267,1215,658,998,552
PsycARTICLES,EBSCO,Result Clicks,19,249,367,96,351,480,131,655,1004,370,1007,539
PsycARTICLES,EBSCO,Searches-federated and automated,40,0,3,0,80,69,3860,19539,16739,8854,21146,14523
PsycBOOKS,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PsycBOOKS,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PsycBOOKS,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PsycBOOKS,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
PsycCRITIQUES,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PsycCRITIQUES,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PsycCRITIQUES,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PsycCRITIQUES,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
PsycheVisual,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PsycheVisual,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PsycheVisual,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
PsycheVisual,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
PsycINFO,EBSCO,Record Views,369,3578,3600,664,4805,5083,337,3224,4943,903,4486,2216
PsycINFO,EBSCO,Regular Searches,794,6306,5682,1049,7303,8108,697,4940,6941,1843,5834,2760
PsycINFO,EBSCO,Result Clicks,727,6401,6653,980,7975,8853,596,5551,8043,1590,7706,3864
PsycINFO,EBSCO,Searches-federated and automated,39,0,3,0,80,71,3854,19566,16729,8848,21152,14500
Public Information Online,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Public Information Online,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Public Information Online,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Public Information Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Publications New Zealand Metadata,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Publications New Zealand Metadata,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Publications New Zealand Metadata,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Publications New Zealand Metadata,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
Publisher Provided Full Text Searching File,EBSCO,Record Views,NA,NA,NA,0,0,26,139,683,699,363,1124,644
Publisher Provided Full Text Searching File,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
Publisher Provided Full Text Searching File,EBSCO,Result Clicks,NA,NA,NA,0,0,41,301,1217,1247,718,2052,1227
Publisher Provided Full Text Searching File,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1154,4948,22962,19067,9965,24942,15894
R2 Digital Library,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
R2 Digital Library,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
R2 Digital Library,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
R2 Digital Library,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
RACO,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RACO,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RACO,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RACO,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
RAMBI,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RAMBI,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RAMBI,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RAMBI,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
RCAAP,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RCAAP,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RCAAP,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RCAAP,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
ReadEx,EBSCO,Record Views,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
ReadEx,EBSCO,Regular Searches,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
ReadEx,EBSCO,Result Clicks,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
ReadEx,EBSCO,Searches-federated and automated,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
RECERCAT,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RECERCAT,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RECERCAT,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
RECERCAT,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
Regional Business News,EBSCO,Record Views,0,67,7,18,34,21,45,188,110,209,202,227
Regional Business News,EBSCO,Regular Searches,316,1129,632,413,975,1551,211,996,1147,674,867,515
Regional Business News,EBSCO,Result Clicks,0,134,12,33,73,37,59,278,169,371,311,390
Regional Business News,EBSCO,Searches-federated and automated,39,0,3,0,80,1148,4896,22598,18791,9868,24611,15703
Research Starters,EBSCO,Record Views,NA,NA,NA,0,0,5,1,3,10,1,8,4
Research Starters,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
Research Starters,EBSCO,Result Clicks,NA,NA,NA,0,6,18,7,43,64,18,85,22
Research Starters,EBSCO,Searches-federated and automated,NA,NA,NA,0,52,1148,1030,3073,2088,1034,3506,1247
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Record Views,1,364,10,10,164,22,4,112,44,17,212,10
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Regular Searches,296,1528,627,389,1245,1514,195,1036,964,501,945,398
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Result Clicks,2,559,10,27,270,38,7,176,73,27,330,16
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,Searches-federated and automated,39,0,3,0,80,1122,4876,22437,18672,9840,24549,15632
Rivisteweb,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Rivisteweb,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Rivisteweb,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Rivisteweb,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Rock's Backpages,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Rock's Backpages,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Rock's Backpages,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Rock's Backpages,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Roubini Global Economics,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Roubini Global Economics,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Roubini Global Economics,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Roubini Global Economics,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
SA ePublications Service,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SA ePublications Service,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SA ePublications Service,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SA ePublications Service,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
ScholarVox,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
ScholarVox,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
ScholarVox,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
ScholarVox,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
SciELO,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SciELO,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SciELO,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SciELO,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
ScienceDirect,EBSCO,Record Views,NA,NA,NA,0,1,4,272,1325,1416,552,2277,1567
ScienceDirect,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
ScienceDirect,EBSCO,Result Clicks,NA,NA,NA,0,3,24,561,2290,2638,1045,3853,2924
ScienceDirect,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1122,4888,22589,18814,9870,24629,15709
SciTech Connect,EBSCO,Record Views,NA,NA,NA,0,0,0,0,1,0,0,0,0
SciTech Connect,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
SciTech Connect,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,1,0,0,2,0
SciTech Connect,EBSCO,Searches-federated and automated,NA,NA,NA,0,0,0,487,3077,2093,1037,3517,1236
Small Engine Repair Reference Center,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Small Engine Repair Reference Center,EBSCO,Regular Searches,NA,NA,NA,0,0,0,2,0,NA,NA,NA,NA
Small Engine Repair Reference Center,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Small Engine Repair Reference Center,EBSCO,Searches-federated and automated,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SocINDEX with Full Text,EBSCO,Record Views,NA,NA,NA,0,0,0,37,2371,1568,284,1586,488
SocINDEX with Full Text,EBSCO,Regular Searches,NA,NA,NA,0,0,0,62,2386,1854,591,1548,703
SocINDEX with Full Text,EBSCO,Result Clicks,NA,NA,NA,0,0,0,74,3550,2523,534,2536,880
SocINDEX with Full Text,EBSCO,Searches-federated and automated,NA,NA,NA,0,0,0,1175,22842,18984,9961,24853,15819
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Spanish Patient Education,EBSCO,Record Views,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Spanish Patient Education,EBSCO,Regular Searches,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0
Spanish Patient Education,EBSCO,Result Clicks,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Spanish Patient Education,EBSCO,Searches-federated and automated,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
SPORTDiscus with Full Text,EBSCO,Record Views,NA,NA,NA,NA,NA,NA,NA,NA,20,3,0,0
SPORTDiscus with Full Text,EBSCO,Regular Searches,NA,NA,NA,NA,NA,NA,NA,NA,610,119,0,0
SPORTDiscus with Full Text,EBSCO,Result Clicks,NA,NA,NA,NA,NA,NA,NA,NA,28,6,0,0
SPORTDiscus with Full Text,EBSCO,Searches-federated and automated,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Record Views,0,0,1,2,14,9,1,5,6,3,8,NA
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Regular Searches,0,0,5,19,130,46,5,19,12,14,27,NA
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Result Clicks,0,0,0,2,14,8,0,2,3,0,1,NA
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Searches-federated and automated,0,0,0,0,0,0,0,0,0,0,0,NA
SpringerMaterials,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,0,0,0,0
SpringerMaterials,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
SpringerMaterials,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,0,0,13,0
SpringerMaterials,EBSCO,Searches-federated and automated,NA,NA,NA,0,0,1052,1030,3071,2094,1035,3508,1235
SSOAR – Social Science Open Access Repository,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SSOAR – Social Science Open Access Repository,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SSOAR – Social Science Open Access Repository,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SSOAR – Social Science Open Access Repository,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
STAT!Ref,EBSCO,Record Views,NA,NA,NA,0,0,0,0,1,0,0,4,0
STAT!Ref,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
STAT!Ref,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,2,0,0,5,0
STAT!Ref,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1125,1031,3070,2086,1033,3509,1236
Supplemental Index,EBSCO,Record Views,NA,NA,NA,0,1,2,14,53,65,21,136,88
Supplemental Index,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
Supplemental Index,EBSCO,Result Clicks,NA,NA,NA,0,2,5,42,91,126,49,233,151
Supplemental Index,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1137,4908,22717,18848,9899,24725,15754
Swedish National Bibliography,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Swedish National Bibliography,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Swedish National Bibliography,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Swedish National Bibliography,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
SwePub,EBSCO,Record Views,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA
SwePub,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
SwePub,EBSCO,Result Clicks,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA
SwePub,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,221,0,0,NA,NA,NA,NA
TDX,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
TDX,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
TDX,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
TDX,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Teacher Reference Center,EBSCO,Record Views,0,0,0,0,3,1,0,3,1,0,2,2
Teacher Reference Center,EBSCO,Regular Searches,300,1134,646,377,954,1550,199,936,951,508,730,401
Teacher Reference Center,EBSCO,Result Clicks,0,0,0,0,5,2,0,7,1,0,4,4
Teacher Reference Center,EBSCO,Searches-federated and automated,39,0,3,0,80,1134,1037,3103,2105,1053,3544,1237
The Criterion Collection,Alexander Street Press,Record Views,0,0,0,0,3,0,0,0,0,0,0,NA
The Criterion Collection,Alexander Street Press,Regular Searches,0,0,0,0,6,0,0,0,0,0,0,NA
The Criterion Collection,Alexander Street Press,Result Clicks,0,0,0,0,1,0,0,0,0,0,0,NA
The Criterion Collection,Alexander Street Press,Searches-federated and automated,0,0,0,0,0,0,0,0,0,0,0,NA
The PBS Video Collection,Alexander Street Press,Record Views,0,0,0,22,86,21,1,25,14,8,30,NA
The PBS Video Collection,Alexander Street Press,Regular Searches,0,0,0,87,213,71,24,69,56,22,64,NA
The PBS Video Collection,Alexander Street Press,Result Clicks,0,0,0,22,44,17,0,4,8,1,1,NA
The PBS Video Collection,Alexander Street Press,Searches-federated and automated,0,0,0,0,0,0,0,0,0,0,0,NA
University Press Scholarship Online,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
University Press Scholarship Online,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
University Press Scholarship Online,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
University Press Scholarship Online,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
USPTO Patent Applications,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
USPTO Patent Applications,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
USPTO Patent Applications,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
USPTO Patent Applications,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
USPTO Patent Grants,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
