Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
CRUSH Reports,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Database of Abstracts of Reviews of Effects,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
DBPIA,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
DigiZeitschriften,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Directory of Open Access Journals,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Discovery eBooks,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Dynamed Plus,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
eArticle,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,OvidSP,,,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,OvidSP,,,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,OvidSP,,,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,OvidSP,,,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,OvidSP,,,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,OvidSP,,,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,OvidSP,,,,Fiscal Year,NA,,NA,NA,NA
eBook Collection (EBSCOhost),EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
EBSCO eClassics Collection (EBSCOhost),EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
ECONIS,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
EDS consolidated db (QD facet) no7,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
EDS consolidated db (QD facet) no8,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
EDS consolidated db (QD facet) no9,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
EDS Consolidated NZL,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
EDS consolidation db #1 (coneds1),EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
"Education in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
Education Research Complete,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Encyclopedia of the Bible and its Reception Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
Energy Citations Database,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Environment Complete,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
ERIC,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Erudit,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Expanded Academic ASAP,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Films on Demand,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Freedonia Focus Reports,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Funk & Wagnalls New World Encyclopedia,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Gale Consolidated DB 2,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
Gale Virtual Reference Library,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Garland Encyclopedia of World Music,Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
General OneFile,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
General Reference Center Gold,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Gigaom Research,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Government Printing Office Catalog,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
GreenFILE,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Grove Art Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Grove Music Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Harvard Library Bibliographic Dataset,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Health & Wellness Resource Center,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Health Business Elite,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Health News,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Health Source - Consumer Edition,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Health Source: Nursing/Academic Edition,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Health Technology Assessments,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
