Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
SpringerMaterials,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
SSOAR – Social Science Open Access Repository,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
STAT!Ref,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Supplemental Index,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Swedish National Bibliography,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
SwePub,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
TDX,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Teacher Reference Center,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
The Criterion Collection,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
The PBS Video Collection,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
University Press Scholarship Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
USPTO Patent Applications,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
USPTO Patent Grants,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
World Book,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
World History in Video,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
Acland Anatomy,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,4672,4349,4566
Chicago manual of style [electronic resource].,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,250,250,250
Chronicle of Higher Education Online,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,694,722.5,1125
Chronicle of Philanthropy Online,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,,824,865.2
Films On Demand Humanities & Social Sciences Video Collection,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,,6010.26,6010.26
Foundation Directory Online,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,6245,10620,7995
Historical Chicago Defender (Electronic),Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,3045,3136,3230
Hoover's Online,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,2325,2325,2325
Humanities Ebook,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,,,810
IOP Science,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,3200,2898,3000
IPA Source,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,400,400,420
Journal of Chemical Education,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,,,582
LexisNexis Academic,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,4809.84,5006,5154.3
LWW Nursing & Health Professions Premier Collection,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,16815,17908,18803
Morningstar Investment Research Center,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,5152.19,5306.76,5467
Music Online: Reference,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,739.2,830.59,872.12
OED [electronic resource] : Oxford English dictionary : the definitive record of the English language.,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,331.29,350.56,541.57
Policy Map,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,,3000,3000
SAGE Premier ejournals (2012),Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,37886.78,39494.37,42734.45
Science Direct,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,14412.5,16550.35,17534.37
SciFinder Scholar,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,3050,3394.17,3250
STAT!Ref Online Resource,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,,6394,1743
UpToDate,Direct,Direct,No database level usage information,Core Database,,Fiscal Year,,,10550,10775,11350
