Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
Communication & Mass Media Complete,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,4434.93,4612.33,4796.82
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
Consumer Health Complete,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Consumer Health Complete - EBSCOhost,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
Credo Reference Collections,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Criminal Justice and Public Safety in Video,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
CRUSH Reports,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Database of Abstracts of Reviews of Effects,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
DBPIA,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
DigiZeitschriften,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Directory of Open Access Journals,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Discovery eBooks,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Dynamed Plus,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
eArticle,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
eBook Collection (EBSCOhost),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
EBSCO eClassics Collection (EBSCOhost),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
ECONIS,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
EDS consolidated db (QD facet) no7,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
EDS consolidated db (QD facet) no8,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
EDS consolidated db (QD facet) no9,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
EDS Consolidated NZL,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
EDS consolidation db #1 (coneds1),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
"Education in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
Education Research Complete,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,5839.93,6073.53,6316.47
Encyclopedia of the Bible and its Reception Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
Energy Citations Database,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Environment Complete,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,3996.24,4156.09,4322.33
ERIC,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Erudit,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Expanded Academic ASAP,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Films on Demand,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Freedonia Focus Reports,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Funk & Wagnalls New World Encyclopedia,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Gale Consolidated DB 2,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
Gale Virtual Reference Library,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Garland Encyclopedia of World Music,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
General OneFile,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
General Reference Center Gold,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Gigaom Research,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Government Printing Office Catalog,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
GreenFILE,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Grove Art Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Grove Music Online,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,NA,,2283,3562.5,2467.5
Harvard Library Bibliographic Dataset,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Health & Wellness Resource Center,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Health Business Elite,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,NA,,,,1605
Health News,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Health Source - Consumer Edition,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Health Source: Nursing/Academic Edition,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
